area,review_question,implementation_entry_point,primary_tests,paper_module,status
optimizer CG,Where is CG fitting implemented?,R/optimizer-cg-runner.R::.gl_run_cg_optimizer(); R/optimizer-cg-outer-loop.R::.gl_run_cg_outer_loop(); R/optimizer-cg-outer-iteration.R::.gl_run_cg_outer_iteration_step(); R/optimizer-cg-hessian-availability.R::.gl_ensure_cg_hessian_available(); R/optimizer-cg-model-state.R::.gl_build_cg_model(); R/optimizer-cg-runtime-state.R::.gl_prepare_cg_runtime_state(); R/optimizer-cg-runtime.R::.gl_build_cg_runtime_helpers(); R/optimizer-cg-state-start.R::.gl_initialize_cg_optimizer_state(); R/optimizer-cg-state-start.R::.gl_evaluate_cg_iteration_start(); R/optimizer-cg-curvature-search.R::.gl_prepare_cg_curvature_line_search_state(); R/optimizer-cg-line-search.R::.gl_apply_cg_line_search_diagnostics_state(); R/optimizer-cg-stop-request.R::.gl_apply_cg_stop_request_state(); R/optimizer-cg-gradient.R::.gl_compute_cg_gradient(); R/optimizer-cg-evaluation.R::.gl_evaluate_cg_beta(); R/optimizer-cg-hessian-object.R::.gl_build_cg_hessian_object(); R/optimizer-cg-penalty.R::.gl_build_cg_penalty(); R/optimizer-cg-lambda-candidates.R::.gl_cg_lambda_candidates(); R/optimizer-cg-lambda-candidates.R::.gl_score_cg_lambda_candidates(); R/optimizer-cg-lambda-update.R::.gl_update_cg_lambdas(); R/optimizer-cg-lambda-update.R::.gl_maybe_update_cg_lambdas_on_schedule(); R/optimizer-cg-trust-region.R::.gl_limit_cg_step(); R/optimizer-cg-trust-region.R::.gl_shrink_cg_trust_radius(); R/optimizer-cg-trust-region.R::.gl_expand_cg_trust_radius(); R/optimizer-cg-trust-region.R::.gl_build_cg_candidate_steps(); R/optimizer-cg-line-search.R::.gl_evaluate_cg_line_search(); R/optimizer-cg-line-search.R::.gl_run_cg_line_search(); R/optimizer-cg-acceptance.R::.gl_assess_cg_step_acceptance(); R/optimizer-cg-acceptance.R::.gl_apply_cg_step_acceptance(); R/optimizer-cg-iteration-diagnostics.R::.gl_update_cg_iteration_diagnostics(); R/optimizer-cg-best.R::.gl_update_cg_best_loglik(); R/optimizer-cg-best.R::.gl_cg_raw_loglik_drop(); R/optimizer-cg-stop-assessment.R::.gl_assess_cg_stopping(); R/optimizer-cg-stop-assessment.R::.gl_cg_stop_reason(); R/optimizer-cg-stop-assessment.R::.gl_should_delay_cg_convergence_for_lambda_update(); R/optimizer-cg-stop-request.R::.gl_handle_cg_stop_request(); R/optimizer-cg-finalization.R::.gl_refresh_final_cg_smooth_edf(); R/optimizer-cg-finalization.R::.gl_finalize_cg_optimizer_state(); R/optimizer-cg-finalization.R::.gl_apply_cg_zeta_hessian_override(); R/optimizer-cg-finalization.R::.gl_build_cg_step_trace_row(); R/optimizer-cg-lambda-trace.R::.gl_build_cg_lambda_trace_rows(); R/optimizer-cg-finite-differences.R::.gl_cg_finite_gradient(); R/optimizer-cg-finite-differences.R::.gl_cg_finite_hessian_block(); R/optimizer-cg-hessian-observed.R::.gl_cg_observed_hessian(); R/optimizer-cg-smooth-edf.R::.gl_cg_smooth_edf_list(); R/optimizer-state.R::.gl_append_optimizer_history(); R/optimizer-state.R::.gl_initialize_unit_weights(); R/model-fit.R::gamlss_longitudinal(),tests/testthat/test-p0-optimizer-cg-runner.R; tests/testthat/test-p0-optimizer-cg-helpers.R; tests/testthat/test-p0-cg-gradient.R; tests/testthat/test-p1-coverage-simulations.R,cross-module,outer-loop runner explicit outer-loop helper one-iteration step runtime-state setup runtime helper cg-initial-state iteration-start curvature-line-search line-search-diagnostics stop-state gradient-dispatch structural evaluator hessian-input zeta-hessian finite-differences observed-hessian smooth-edf lambda-candidate scoring lambda-update scheduling lambda-trace trust-region line-search step-acceptance best-loglik iteration-diagnostics stop-assessment deterioration stop-request final-edf finalization state-history and unit-weight helper extracted
optimizer CG reporting,Where is CG optimizer startup reporting implemented?,R/optimizer-cg-reporting.R::.gl_report_cg_optimizer_start(),tests/testthat/test-p0-optimizer-cg-runner.R,cross-module,CG startup console reporting isolated from optimizer state transitions
optimizer CG lambda update,Where does CG decide whether smoothing parameters changed?,R/optimizer-cg-lambda-change.R::.gl_cg_lambdas_changed(); R/optimizer-cg-lambda-update.R::.gl_maybe_update_cg_lambdas_on_schedule(),tests/testthat/test-p0-optimizer-cg-helpers.R,cross-module,lambda-change predicate isolated from scheduled smoothing-parameter update and trust-radius shrink logic
optimizer CG line search,Where is one CG line-search candidate evaluated?,R/optimizer-cg-line-search-candidate.R::.gl_evaluate_cg_line_search_candidate(); R/optimizer-cg-line-search.R::.gl_evaluate_cg_line_search(),tests/testthat/test-p0-optimizer-cg-helpers.R,cross-module,per-candidate line-search evaluation isolated from line-search loop control
optimizer CG line-search diagnostics,Where is CG line-search diagnostics state assembled?,R/optimizer-cg-line-search-diagnostics-state.R::.gl_build_cg_line_search_diagnostics_state(); R/optimizer-cg-line-search.R::.gl_apply_cg_line_search_diagnostics_state(),tests/testthat/test-p0-optimizer-cg-helpers.R,cross-module,line-search diagnostics return contract isolated from acceptance and diagnostics sequencing
optimizer CG result,Where is the final CG optimizer result object assembled?,R/optimizer-cg-result.R::.gl_build_cg_optimizer_result(),tests/testthat/test-p0-optimizer-cg-runner.R,cross-module,final CG optimizer return contract isolated for reviewer inspection
likelihood evaluation,Where is the joint likelihood evaluated?,R/likelihood-*.R; R/likelihood-evaluation.R::calc_likelihood_minimal(); R/likelihood-evaluation-margin.R::.gl_likelihood_evaluate_margins(); R/likelihood-evaluation-copula-update.R::.calc_likelihood_update_copula(); R/likelihood-copula-rectangle-bounds.R::.calc_F_bounds_derivatives(); R/likelihood-copula-rectangle-parameters.R::.calc_copula_rectangle_par_derivative(); R/likelihood-copula-rectangle-scores.R::.calc_discrete_rectangle_scores(); R/model-margin-cdf.R::calc_F_x(),tests/testthat/test-p0-likelihood-evaluation-margin.R; tests/testthat/test-p0-discrete-rectangle-likelihood.R; tests/testthat/test-p0-copula-backend.R; tests/testthat/test-p1-coverage-simulations.R,01-02 simulations,split into reviewer-oriented likelihood margin-evaluation marginal-CDF copula-update and discrete rectangle helper files
likelihood scores,Where are copula and margin score pieces assembled?,R/likelihood-scores.R::score_function_v2(); R/likelihood-copula-margin-derivatives-d1.R::.calc_deriv_copula_wrt_margin_d1(); R/likelihood-copula-margin-indexed.R::.calc_dlcopdpar_indexed(); R/likelihood-gradient-margin-scores.R::.cg_margin_natural_scores(); R/likelihood-gradient.R::.cg_analytical_gradient(),tests/testthat/test-p0-likelihood-copula-margin-derivatives.R; tests/testthat/test-p0-likelihood-copula-margin-indexed.R; tests/testthat/test-p0-cg-gradient.R; tests/testthat/test-p0-hessian-analytical.R,01-03 simulations,split into reviewer-oriented likelihood margin-score analytical-gradient first-derivative endpoint attribution and indexed copula-to-margin score helper files
uncertainty and Hessian,Where are Hessian vcov and inference paths implemented?,R/hessian-*.R; R/model-inference-*.R; R/model-vcov-setup.R::.gl_prepare_vcov_evaluation(); R/model-vcov*.R; R/inference-contracts.R,tests/testthat/test-p0-model-vcov.R; tests/testthat/test-p0-hessian-assembly-helpers.R; tests/testthat/test-p0-hessian-assembly-copula-blocks.R; tests/testthat/test-p0-bootstrap-inference-helpers.R; tests/testthat/test-p0-hessian-analytical.R; tests/testthat/test-p0-inference-contracts.R; tests/testthat/test-p0-inference-contract-adversarial.R; tests/testthat/test-p0-regressions.R; tests/testthat/test-p0-user-facing-estimands.R,cross-module,split by domain with versioned inference contracts vcov setup cached-vcov resolver Hessian solving smoothing cache covariate Hessian assembly helpers theta-zeta copula block helpers bootstrap inference helpers and copula contribution helpers isolated
prediction,How are new panels prediction summaries intervals and coefficient confidence intervals produced?,R/model-predict.R::predict.gamlss.longitudinal(); R/model-predict-values.R::.gl_prediction_eval_values(); R/model-predict-values.R; R/model-predict-distributional.R::.gl_prediction_quantile_frame(); R/model-predict-intervals.R::.gl_prediction_interval_frame(); R/model-predict-se.R::.gl_predict_response_se(); R/model-newdata.R::.gl_prepare_newdata_internal(); R/model-newdata-policy.R::.gl_translate_newdata_names(); R/model-newdata-policy.R::.gl_add_newdata_default_columns(); R/model-newdata-policy.R::.gl_align_newdata_factor_levels(); R/model-newdata-policy.R::.gl_validate_newdata_response(); R/model-newdata-matrix.R::.gl_align_model_matrix_columns(); R/model-fitted-distribution.R; R/model-confint.R::confint.gamlss.longitudinal(),tests/testthat/test-p0-model-newdata.R; tests/testthat/test-p0-user-facing-estimands.R; tests/testthat/test-p0-prediction-intervals.R; tests/testthat/test-p2-srr-regression-edge-cases.R; tests/testthat/test-p2-srr-error-map.R,05-06 applications,prediction method value/evaluation helpers distributional prediction frames prediction interval frame newdata policy alignment fitted distribution assembly uncertainty helpers and coefficient intervals split
simulation,How are fitted models and JSS simulation datasets simulated?,R/model-simulate.R::simulate.gamlss.longitudinal(); R/model-simulate-newdata.R; R/model-simulate-newdata-helpers.R::.gl_simulation_time_grid(); R/model-simulate-newdata-helpers.R::.gl_simulation_align_dependence_parameter(); R/model-simulate-copula.R; R/simulation-*.R,tests/testthat/test-p0-simulation-helpers.R; tests/testthat/test-p1-core.R,01-02 simulations,fitted-model simulation entry point newdata grid and dependence-parameter alignment preparation copula response draws plus dataset covariate shape and copula-uniform helpers split for JSS review
diagnostics,Where are diagnostics computed and plotted?,R/diagnostics-*.R; R/missingness_diagnostics.R; R/missingness-diagnostics-*.R; R/plot-*.R; R/plot-method-helpers.R; R/plot-method-quantiles.R; R/plot-margin-fit-data.R; R/plot-copula-fit-data.R; R/plot-dist-data.R; R/plot-dist-overlays.R; R/plot-dist-panels.R; R/plot-terms-dashboard.R; R/plot-terms-fixed-factor-groups.R; R/plot-terms-fixed-specs.R; R/plot-terms-fixed-factor-data.R; R/plot-terms-fixed-continuous-data.R; R/plot-terms-fixed-plots.R; R/plot-copula-diagnostics-controls.R; R/plot-copula-diagnostics-data.R; R/plot-copula-diagnostics-pair-data.R; R/plot-copula-diagnostics-groups.R; R/plot-copula-diagnostics-transform.R; R/plot-copula-diagnostics-density.R; R/plot-copula-diagnostics-metrics-rosenblatt.R; R/plot-copula-diagnostics-metrics-tail.R; R/plot-copula-diagnostics-metrics-surface.R; R/plot-copula-diagnostics-panels-overlay.R; R/plot-copula-diagnostics-panels-rosenblatt.R; R/plot-copula-diagnostics-panels-dependence.R; R/plot-copula-diagnostics-result.R,tests/testthat/test-p0-diagnostics-namespace.R; tests/testthat/test-p0-missingness-diagnostics.R; tests/testthat/test-p0-plot-method-helpers.R; tests/testthat/test-p0-plot-margin-fit.R; tests/testthat/test-p0-plot-copula-fit.R; tests/testthat/test-p0-plot-dist-data.R; tests/testthat/test-p0-plot-terms-dashboard.R; tests/testthat/test-p0-plot-terms-fixed-helpers.R; tests/testthat/test-p0-plot-copula-diagnostics-controls.R; tests/testthat/test-p0-plot-copula-diagnostics-data.R; tests/testthat/test-p0-plot-copula-diagnostics-density.R; tests/testthat/test-p0-plot-copula-diagnostics-metrics.R; tests/testthat/test-p0-plot-copula-diagnostics-panels.R; tests/testthat/test-p0-plot-copula-diagnostics-result.R; tests/testthat/test-p0-plot-terms-smooth-helpers.R; tests/testthat/test-p1-plots-summary.R,cross-module,split by domain with missingness checker validation workflow predictor selection model-data assessment and print helpers print-method dashboard and quantile helpers margin-fit fitted/raw density helpers copula-fit pair/spec density and overlay helpers plot-dist data overlay and panel helpers plot-terms dashboard helpers fixed-term factor-column matching specs factor data continuous data and plot builders copula diagnostics controls fitted-data pair-data grouping transforms Rosenblatt tail and surface metrics overlay Rosenblatt dependence panels result assembly and smooth-term plotting helpers separated
paper replication,How are JSS figures tables and data regenerated?,paper/_targets.R; paper/R/*.R,tests/testthat/test-p2-jss-replication-skeleton.R,all modules,stub skeleton active
package scaffolding,Where are package metadata imports startup hooks shared utilities and link helpers defined?,R/package.R; R/startup.R; R/package-utils.R; R/link-functions-*.R; R/srr-stats-standards.R,tests/testthat/test-p2-ropensci-standards.R; tests/testthat/test-p1-core.R,cross-module,package-level utilities link helpers and standards tags retained
model accessors and effects,Where are fitted-object accessors checks effects summaries residuals and copula summaries implemented?,R/model-accessors.R; R/model-fitted-residuals.R; R/model-summary*.R; R/model-check.R; R/model-check-basic.R; R/model-check-inputs.R; R/model-check-calibration.R; R/model-check-diagnostics.R; R/model-check-thresholds.R; R/model-check-threshold-rows.R; R/model-check-print.R; R/model-effects.R; R/model-effects-row.R; R/model-effects-result.R; R/model-effects-data.R; R/model-copula-summary.R; R/model-copula-summary-tables.R; R/model-copula-summary-print.R; R/model-copula-summary-plot.R,tests/testthat/test-p1-core.R; tests/testthat/test-p0-user-facing-estimands.R; tests/testthat/test-p0-model-summary.R; tests/testthat/test-p0-model-check-thresholds.R; tests/testthat/test-p0-model-effects.R; tests/testthat/test-p0-model-copula-summary.R; tests/testthat/test-p1-plots-summary.R; tests/testthat/test-p2-ropensci-standards.R,cross-module,user-facing fitted-object methods split into basic accessors fitted values residuals summary helpers print formatting check entry point basic check result summary check input validation check calibration statistics check diagnostics check threshold row schema check thresholds check-print effects counterfactual row evaluation effects result finalization effects counterfactual data policy copula summaries copula summary table builders and copula summary print/plot methods
copula backend and selection,Where are copula families backend dispatch link metadata and distribution selection implemented?,R/copula-family-links.R::get_copula_dist(); R/copula-backend-*.R; R/copula_selection.R; R/copula-selection-auto-u.R::.select_copula_auto_u(); R/copula-selection-fit-u.R::.select_copula_u_from_fit(); R/copula-selection-formulas.R; R/copula-selection-*.R; R/joint_distribution_selection.R; R/joint-distribution-selection-*.R,tests/testthat/test-p0-copula-backend.R; tests/testthat/test-p0-copula-selection.R; tests/testthat/test-p0-joint-distribution-selection.R,cross-module,copula backend link metadata and selection sources grouped with selector helpers split by methods pairs pseudo-observations candidates utilities joint-fit formulas row schemas and fitting
benchmark and workflow framework,Where are comparator reports and margin-selection helpers implemented?,R/select-margin-*.R; R/benchmark-adoption-scenarios.R; R/benchmark-comparators.R; R/benchmark-report.R; R/benchmark-summary.R; R/reporting-model-spec.R; R/reporting-table.R; R/reporting-publication.R,tests/testthat/test-p0-adoption-margin-inputs.R; tests/testthat/test-p0-benchmark-comparator-workflow.R; tests/testthat/test-p0-benchmark-comparator-coefficients.R; tests/testthat/test-p0-benchmark-report-sections.R; tests/testthat/test-p0-reporting-helpers.R; tests/testthat/test-p1-benchmark-comparators.R; tests/testthat/test-p1-adoption-workflow.R,cross-module,benchmark support consolidated into scenario comparator report and summary files while preserving comparator workflow validation coefficient extraction report section interpretation formatting model specification reporting publication tables and margin-screening evidence
coverage simulation framework,Where are standards coverage simulations estimands catalogs and report helpers implemented?,R/coverage-runner.R; R/coverage-fitters.R; R/coverage-estimands.R; R/coverage-benchmarks.R; R/coverage-report.R,tests/testthat/test-p0-coverage-report.R; tests/testthat/test-p0-coverage-fitters-longitudinal.R; tests/testthat/test-p1-coverage-simulations.R; tests/testthat/test-p1-adoption-workflow.R,cross-module,coverage support consolidated into runner fitters estimands benchmarks and report files while preserving standards coverage simulations attempt selection longitudinal result-row assembly report workflow document assembly tables and rendering evidence
legacy and simulation support,Where are legacy simulation and historical helper utilities retained?,R/legacy-simulation-create-longitudinal-dataset.R; R/legacy-simulation-load-dataset.R; R/legacy-simulation-se.R; R/legacy-optim-outer.R; R/legacy-fit-nocov.R,tests/testthat/test-p0-simulation-helpers.R,cross-module,legacy helpers explicitly quarantined into dataset loading dataset-shaping se optimizer and no-cov support files
optimizer CG outer-loop state,Where is CG outer-loop iteration state transfer implemented?,R/optimizer-cg-outer-loop-state.R::.gl_apply_cg_outer_iteration_state(),tests/testthat/test-p0-optimizer-cg-runner.R,cross-module,outer-loop iteration result state-transfer helper split from the CG optimizer loop
