issue_id,priority,theme,title,classification,locations,evidence,consequence,action,acceptance,reviewers,owner,effort,dependencies
"JSS-011","P1","Positioning","Novelty and comparator landscape are incomplete and too categorical","confirmed manuscript defect","Abstract; Introduction; Table 1","Closest multivariate distributional and copula software is omitted; GEE/GLMM/vine capabilities are sometimes characterized inaccurately","An editor may view the uniqueness claim as unresearched or advocacy-driven","Perform a dated landscape review and rewrite novelty as a bounded frequentist shared-formula first-order longitudinal joint-likelihood contribution","Every plausible near-neighbor is compared or excluded with evidence; no absolute no-software claim remains","R01-B1/M7;R02-N1;R06-N3;R08-M3","paper/methods","M","none"
"JSS-012","P1","Architecture","Paper needs a software-first JSS structure and shorter main narrative","consensus recommendation","Whole manuscript","Software use begins on page 11; extensive derivations and simulations dominate 47 pages; JSS discourages extensive simulation studies","The package contribution and intended user are obscured","Aim for a 24-28 page main article with bounded introduction, concise model/data contract, package design, progressive workflow, focused evaluation, brief secondary application, and availability/limitations; move derivations and grids to supplement","Executable software appears by page 6-7; the public workflow is the largest main-text component; secondary grids/derivations are outside the main article; an editor can state the software contribution after the abstract and introduction","R01-B2/M1;R08-M2;R06-reader-journey","paper","XL","JSS-011,JSS-013,JSS-014"
"JSS-013","P1","Worked example","Primary public example is too maximalist and does not match its producer","confirmed defect","Section 3.2; Figures 2-3","First fit combines BCPE/t, six formulas and smooths; producer analysis differs from displayed guided example","Readers cannot distinguish essential syntax and review cannot tie figures to code","Use one named simulated/public dataset and a progressive simple-to-advanced workflow; make the exact manuscript code generate the displayed figures and output","First fit is under 12 lines; each added feature answers a diagnostic/scientific need; one script reproduces all example output","R01-M2;R04-M5;R06-reader-journey","software/paper","L","JSS-009,JSS-010"
"JSS-014","P1","Comparative evaluation","Nearest software alternatives and fair task-based comparisons are missing","confirmed gap","Table 1; Sections 4.1-4.3","Main recovery baseline ignores dependence and GEE benchmark uses restricted/unstable settings; closest copula/distributional workflows are not adequately positioned","Evidence shows dependence can beat independence but not advancement over the relevant software frontier","Create a dated capability table for all near-neighbor classes and run only one or two fair tractable task-based benchmarks selected to test the bounded contribution; document non-equivalence or infeasibility rather than forcing a comparison","Capability claims are source-backed; each retained empirical comparator uses the same estimand/data and reports accuracy, runtime, convergence and limitations; excluded comparisons have a precise reason","R01-M4;R03-M3;R08-M3","simulation/software","L","JSS-004,JSS-011"
"JSS-015","P1","Monte Carlo reporting","Uncertainty, denominators, and failure accounting are inadequate","confirmed defect","All validation tables and figures","Many cells have 20 or 100 attempts; MCSEs/intervals and attempted/successful counts are absent; failure conditioning differs by method","Small differences and positive conclusions exceed experiment precision","Publish attempt-level states and report attempted/converged/included counts, MCSEs or paired intervals, conditional and failure-penalized summaries, and prespecified outlier rules","Every estimate displays denominator and Monte Carlo uncertainty; totals reconcile across attempt, metric, and summary files","R03-M1/M5/m1;R06-M9;R02-B3","simulation","L","JSS-004,JSS-005"
"JSS-016","P1","Copula selection","Selection counts are stale and AIC reliability is overgeneralized","confirmed defect","Section 4.3.2; Figure 5; Discussion","Manuscript 10/60 counts differ from staged 100-replicate cells; moderate Gaussian selection is uncertain","Displayed conclusions do not describe current data","Regenerate confusion matrices and prose from current attempt-level results; qualify by generator, dependence and sample size; discuss close-AIC sensitivity","All counts sum to cell attempts and are generated automatically; reliability claims are scenario-specific with uncertainty","R03-M2;R02-N3;R01-M9","simulation/paper","M","JSS-015"
"JSS-017","P1","Optimization","CG algorithm description and empirical guidance do not match evidence","confirmed defect","Section 2.3/4.2; Appendix A; Table 7","Appendix acceptance equations differ from code; staged optimizer evidence compares RS joint/separate but not CG","Users cannot reproduce or trust CG guidance","Rewrite Appendix A from the implemented objective/steps; retain CG as an alternate optimizer but remove interchangeability, relative-speed, and sensitivity recommendations unless supported by a small precision-driven paired benchmark","A deterministic one-iteration test matches every documented candidate and acceptance step; any retained empirical CG statement is linked to the focused benchmark with denominator and uncertainty; unsupported Table 7 claims are absent","R02-M6;R03-M4","methods/simulation","M","JSS-001,JSS-005,JSS-031"
"JSS-018","P1","Data contract","Longitudinal ordering, pairing, gaps, and pair-covariate endpoint semantics are underspecified","confirmed ambiguity","Equation 3; Sections 3.2 and 4.3.3","time_var/subject_var do not define ties, irregular spacing, scheduled versus observed adjacency, or which row supplies pair covariates","Equivalent datasets can yield different likelihoods and interpretations","Formalize the conditional Markov model and pairing algorithm; define ordering, duplicates, gaps, left/right endpoint mapping, and dependence per visit versus time unit","A six-row toy panel documents exact marginal/pair contributions and matches model matrices, likelihood, simulation, and prediction","R01-M5;R02-M1;R06-M1","methods/software","M","JSS-003"
"JSS-019","P1","Private application","LIPID is too long, not exactly auditable, and overinterpreted","confirmed defect","Section 5; Tables 12-15; Figures 6-9","10% subsample, selection and missingness are insufficiently justified; nominal post-selection p-values and stability/treatment claims are strong; sanitized recipe does not match final formulas; tail claims conflict with displayed lower/upper fit","The secondary private example distracts from the reproducible workflow and may mislead scientifically","Keep LIPID secondary and 2-4 pages; publish exact data-free preprocessing contracts, formulas, controls, selection steps and producers; test them on the generic fixture; record author-run private artifact hashes without releasing derived data; remove causal/stability claims and require every retained lower/upper/opposite-tail statement to cite a displayed statistic","Generic-fixture tests exercise the exact code path; static private hashes and provenance are recorded; manuscript states the exception and makes no public-regeneration claim; every retained tail statement matches its displayed statistic","R01-M8;R03-M7/M8/M9;R05-M1;R06-M7/M8;R08-M9","applied/paper","L","JSS-003,JSS-008,JSS-032"
"JSS-020","P1","Release metadata","Manuscript does not identify the reviewed software artifact or installability contract","confirmed omission","Sections 3.1 and 6","No reviewed version/commit, license, minimum R, tested platforms, install source, dependency statement, or citation is stated","Readers cannot identify or install the software intended for review","Prepare a Software availability subsection with release-candidate version/commit, license, install command, requirements, tested platforms, documentation/support and citation; reserve final tag/DOI insertion for JSS-035","A clean machine installs the release candidate from its stated source and manuscript/package metadata agree on every field","R01-B4;R04-M7;R05-M6","release/paper","M","JSS-033"
"JSS-021","P1","Provenance","Script dependencies, seed registry, and environment isolation are incomplete","confirmed defect","Replication logs; seeds.csv; bootstrap","Executed paper/scripts producers are omitted from input hashes/graph; seed registry is unused with a discrepancy; inherited libraries and optional dependencies weaken isolation","A successful run cannot be attributed completely or repeated reliably","Track every executed script/file as a target input; make seeds.csv authoritative and tested; isolate restored libraries and lock optional dependencies used by profiles","Input graph includes every executed producer; seeds in outputs equal registry; cold platform runs use only declared environment","R05-M2/M3/M7","reproducibility","M","none"
"JSS-022","P1","Visual communication","Figures, tables, and float order are not readable or accessible at normal size","confirmed defect","Figures 1-18; Tables 1-21; appendices/references","Dense tables reach 5-7 pt; multi-panel figures have caption-subscale text; several visuals rely on cyan/red; Figure 2 interrupts output; Appendix C-E headings are empty/misowned; Appendix G code and references are interrupted by floats","Readers cannot evaluate results without zoom and document hierarchy is broken","Apply every figure-table-audit.csv disposition, including Figure 2 and Figures 13-18/Tables 19-21; split dense panels/tables, use redundant accessible encodings, and repair empty headings and Appendix G/reference order","Each audit row has a dated actual-size print, 100% screen, grayscale, and color-accessibility approval; no heading lacks owned content; no code/output/reference sequence is interrupted","R01-m2;R06-N2;R07-all;R08-M6/M7/M8","figures/paper","L","JSS-004,JSS-005,JSS-016,JSS-019"
"JSS-023","P1","References and JSS style","Bibliography, citations, code markup, captions, and build compliance need a complete JSS pass","confirmed defect","Whole TeX/BibTeX source; build log","Six citation keys are unresolved; bibliography has 72 warnings/noisy fields; arXiv macros and non-JSS code/caption conventions remain","Formal submission and source quality requirements are not met","Adopt the current JSS template/macros; resolve every citation; normalize BibTeX; enforce sentence-style headings/captions, labelled references, and code width/markup; review each remaining build warning","Zero unresolved citations/references and zero overfull boxes affecting content; a warning ledger marks each remaining benign underfull/float warning approved; the JSS style checklist passes; bibliography contains no database debris","R07-m1/m3;R08-B1/B2/M4/M5/M6/N1-N6","paper/editorial","L","JSS-012,JSS-022"
"JSS-024","P1","Model building","Screening, selection, diagnostics, and confirmatory inference are conflated","confirmed guidance defect","Sections 3.2.3-3.2.5 and 5","AIC/pseudo-observation screens and fixed thresholds are presented as stronger decisions; LIPID p-values follow extensive model selection","Users may mistake exploratory heuristics for calibrated validation or confirmatory inference","Define a staged exploratory-to-confirmatory workflow; label heuristic screens; require sensitivity and post-selection caveats; align help pages and paper","Every function is labelled screen/diagnostic/test appropriately; manuscript example distinguishes exploratory choices from final inference","R01-M9;R06-M5/M6;R02-M4","methods/software/paper","M","JSS-010,JSS-013"
"JSS-025","P1","Prediction semantics","Prediction and simulation language exceeds implemented estimands","confirmed ambiguity","Section 3.2.5 and applied discussion","Marginal/unconditional point predictions are discussed as if dynamic subject trajectories; response, mu, fitted values, and response mean are not synonymous across families","Applied users may answer a different longitudinal question than intended","Document current prediction as history-unconditional/marginal with an explicit type contract for response, location and any supported response mean; state history-conditioned dynamic prediction as unsupported; narrow all trajectory language","Each type states its conditioning set, scale, family support and approximation; two subjects with identical covariates but different histories receive the documented same marginal result; unsupported dynamic requests fail clearly","R01-M7;R04-m2;R06-M3","software/applied","M","JSS-008,JSS-018,JSS-030"
"JSS-026","P1","Artifact verification","Manifest mapping and figure verification do not yet support exact manuscript claims","confirmed defect","Manifest; figure verification; inline tables","Several public figure hashes differ; checks validate only PNG structure; two inline tables remain manual/pending; some labels do not match TeX","A successful profile does not prove that the reviewed manuscript contains approved evidence","Externalize all public data-backed inline tables; align labels; hash plotted data and plot specifications; define the canonical byte-identical platform or numeric/perceptual tolerance; add explicit visual approval and a deliberate mutation test","Every public artifact maps one-to-one to a manuscript label/path; changing a plotted series while preserving PNG validity and dimensions fails verification; renderer drift and evidence changes are distinguished; all declared approval records pass","R05-M4/M5;R03-B1","reproducibility/paper","M","JSS-004,JSS-005,JSS-016"
"JSS-027","P2","Terminology and notation","Controlled vocabulary and symbol audit are needed","confirmed editorial defect","Abstract; Sections 1-5; equations/tables","Mean/location, fixed/parametric, correlation/dependence/covariance, CDF terminology, and discrete symbols are inconsistent","Technical meaning is obscured and cross-family interpretation is unsafe","Adopt a terminology/style sheet and notation table; run global consistency and symbol-definition audit","All symbols are defined once; controlled terms are used consistently; family-specific meanings are preserved","R01-m3;R02-N2;R06-N1;R08-N5","paper/methods","M","JSS-008"
"JSS-028","P2","Presentation","Captions, code output, and local prose need copy-editing after restructuring","confirmed editorial defect","Whole manuscript","Captions contradict plots, code output is low contrast/too long, punctuation and cross-reference styles vary, prose repeats and contains errors","Even correct results remain hard to interpret","After structural edits, make captions self-contained, excerpt code/output, standardize cross-references/spelling/hyphenation and run professional copy-edit","Every caption defines data/marks/estimand; code fits text width; style sheet and spell/grammar checks pass","R07-M4/m1/m2;R08-N2-N4;R06-N4","paper/editorial","M","JSS-012,JSS-022,JSS-023"
"JSS-029","P2","Discussion","Conclusion should state a clear use/do-not-use boundary instead of repeating results","consensus recommendation","Section 7","Discussion repeats simulations and does not consolidate first-order, missingness, inference, and computational boundaries","Readers leave without a crisp decision rule","Rewrite to one page: intended users, supported settings, contraindications, unresolved limitations, and roadmap","No paragraph-length repetition of Section 4; every major limitation maps to user guidance","R01-m4;R06-M10","paper","S","JSS-012,JSS-018,JSS-024,JSS-025"
"JSS-030","P0","Family scope","Supported family and pair-type routing is incomplete and can select an invalid likelihood","confirmed defect","Sections 2.2-2.3; family capability and likelihood routing","Unsupported discrete/bounded families can enter a continuous path; one homogeneous family per fit and mixed continuous-discrete transitions are not clearly enforced; discrete copula identification is unqualified","A fit can optimize the wrong objective and users can assume unsupported mixed outcomes","Create a versioned capability registry covering family type, parameter links, supported pair contribution and diagnostics; enforce one homogeneous family per fit; reject unsupported bounded/discrete/mixed pair paths before optimization; correct the discrete log contribution and identifiability prose","Every registered family/copula combination has a tested route; unsupported combinations fail before optimization with the documented error class; mixed-family inputs fail clearly; manuscript capability table matches the registry","R04-M2;R02-M2","package/methods","L","JSS-001"
"JSS-031","P0","Convergence","Optimizer stop reasons and downstream qualification are not consistently visible","confirmed defect","CG/RS fit return paths and standard methods","CG nonconvergence can be returned silently and downstream inference/output may look ordinary","Users can report a nonconverged fit as valid","Define structured stop reasons for every optimizer; warn with a classed condition on nonconvergence; record gradient/step/objective diagnostics; block or visibly qualify inference, AIC and prediction when required","Tests cover every stop reason; every nonconverged fit emits/records the documented condition; summary/print/inference cannot hide the state","R04-M4;R03-M5","package","M","JSS-001,JSS-002"
"JSS-032","P0","Inference scope","Fixed and smooth uncertainty are conditional approximations rather than full joint inference","confirmed scope defect","Section 3 inference claims; Appendix B.1.5; sandwich/bootstrap methods","Fixed Hessian holds smooth coefficients fixed; smooth covariance omits cross-block and smoothing-parameter uncertainty; sandwich scores cover fixed coefficients only; bootstrap targets differ","Claims of correlation-adjusted standard errors for all parameters are false","For this paper, do not implement a new full fixed-smooth covariance engine: inventory every inferential output, label fixed and smooth results conditional on fitted smooth structure, label smooth covariance approximate, define sandwich/bootstrap coefficient blocks and failure handling, and remove all broader joint-inference claims","An inference-contract table lists estimand, conditioning, coefficient blocks, assumptions, failure state and validation for every output; targeted conditional-coverage tests pass; global search finds no all-parameters or unconditional joint-inference claim","R02-M5/M7;R01-M6;R06-M4","methods/paper","L","JSS-002"
"JSS-033","P1","Package documentation","Core documentation and vignettes are not clean-library executable","confirmed gap","Rd examples; package vignettes; JSS start vignette","Principal guidance vignettes are globally unevaluated, the JSS template vignette has undefined objects, and core Rd examples are absent or insufficient","The software paper can show a workflow that the package documentation does not independently execute","Use the same small public dataset as the manuscript; add executable core Rd examples; make the primary fitting, diagnostics, prediction and simulation vignettes evaluate in a clean library; keep only explicitly justified expensive chunks unevaluated","R CMD check succeeds in a clean library; named core vignettes evaluate end to end; every unevaluated chunk has a documented cost reason; examples cover the standard-method contracts","R04-M6","documentation/package","L","JSS-009,JSS-010,JSS-013,JSS-025"
"JSS-034","P1","Computational guidance","Practitioner-facing fit scaling and feasibility guidance are missing","confirmed gap","Software section; runtime guidance","Replication runtime does not explain cost changes with subjects, visits, parameter dimension, smooth basis, family, optimizer and covariance method","Users cannot decide whether a proposed model is computationally feasible","Run a modest precision-driven timing benchmark for a representative continuous and discrete model varying only subjects, visits and smooth basis; report measured hardware/timings and qualitative complexity for family, optimizer and covariance choices","A generated timing table states scenario, median/IQR runtime, failures, hardware and package version; manuscript gives bounded qualitative scaling without extrapolating beyond measurements","R04-M8","software/performance","M","JSS-001,JSS-031"
"JSS-035","P0","Release gate","Final accepted package, manuscript and replication state is not tagged and archived","release blocker","Repository and manuscript availability statements","The reviewed workflow currently exists in a dirty working state and no immutable archive/DOI identifies the final accepted evidence","No citable immutable artifact currently binds the final software, manuscript, public evidence, and reviewer commands","After all scientific, paper, artifact and platform gates pass, create the final tag/archive/DOI and update manuscript metadata without changing analyses","Tag is clean; archive checksum and DOI resolve; manuscript, package DESCRIPTION/CITATION, manifest and reviewer commands identify the same version; archived smoke/paper/full/CI evidence matches the tag","R01-B4;R04-M7;R05-B1/M6","release","M","JSS-006,JSS-007,JSS-020,JSS-023,JSS-026,JSS-033"
